,pred,label,class,wer
0,HƯỚNG,HƯỚNG,DOCUMENT,0.0
1,DẪN,DẪN,DOCUMENT,0.0
2,THỦ,THỦ,DOCUMENT,0.0
3,TỤC,TỤC,DOCUMENT,0.0
4,CÁP,CẤP,DOCUMENT,33.33333333333333
5,LẠI,LẠI,DOCUMENT,0.0
6,GIÁY,GIẤY,DOCUMENT,25.0
7,RA,RA,DOCUMENT,0.0
8,VIỆN.,VIỆN,DOCUMENT,25.0
9,HƯỚNG DẪN THỦ TỤC CÁP LẠI GIÁY RA VIỆN.,HƯỚNG DẪN THỦ TỤC CẤP LẠI GIẤY RA VIỆN,DOCUMENT,7.894736842105263
10,BỘ,BỘ,HOSPITAL,0.0
11,Y,Y,HOSPITAL,0.0
12,TẾ.,TẾ,HOSPITAL,50.0
13,BỆNH,BỆNH,HOSPITAL,0.0
14,VIỆN,VIỆN,HOSPITAL,0.0
15,VIỆT,VIỆT,HOSPITAL,0.0
16,NAM,NAM,HOSPITAL,0.0
17,THỤY,THỤY,HOSPITAL,0.0
18,ĐIỄN,ĐIỂN,HOSPITAL,25.0
19,UỐNG,UÔNG,HOSPITAL,25.0
20,BỘ Y TẾ. BỆNH VIỆN VIỆT NAM THỤY ĐIỄN UỐNG,BỘ Y TẾ BỆNH VIỆN VIỆT NAM THỤY ĐIỂN UÔNG,HOSPITAL,7.317073170731707
